country,director,genre,language,rating,runtime,titleC
美国,加文·欧康诺,"剧情,家庭,运动",英语,8.9,140分钟,勇士 Warrior
英国 / 澳大利亚 / 美国,汤姆·霍珀,"剧情,传记,历史",英语,8.3,118分钟,国王的演讲 The King's Speech
美国 / 德国,爱德华·兹威克,"剧情,惊悚,冒险",英语 / 门德语 / 南非荷兰语,8.5,143 分钟,血钻 Blood Diamond
美国,彼得·维纳,"剧情,传记",英语,8.6,95分钟,叫我第一名 Front of the Class
法国 / 美国,大卫·林奇,"剧情,悬疑,惊悚",英语 / 西班牙语,8.3,147分钟,穆赫兰道 Mulholland Dr.
日本,是枝裕和,"剧情,家庭",日语,8.6,127分钟,海街日记 海街diary
美国,汤姆·麦卡锡,"剧情,传记",英语,8.8,128分钟,聚焦 Spotlight
博茨瓦纳 / 南非,加美·尤伊斯,喜剧,英语 / 南非荷兰语 / Ungwatsi,8.6,109 分钟,上帝也疯狂 The Gods Must Be Crazy
香港,杜琪峰,"剧情,动作,犯罪",粤语,8.6,84分钟(香港),枪火 鎗火
韩国,秋昌旼,"剧情,爱情",韩语,9.0,118分钟,我爱你 그대를 사랑합니다
美国,罗伯·莱纳,"剧情,喜剧,冒险",英语,8.5,97 分钟,遗愿清单 The Bucket List
美国 / 德国 / 英国,艾伦·帕克,"剧情,悬疑,犯罪",英语 / 西班牙语,8.6,130 分钟,大卫·戈尔的一生 The Life of David Gale
美国,雷德利·斯科特,"动作,历史,战争",英语 / 索马里语,8.5,144分钟,黑鹰坠落 Black Hawk Down
美国,罗伯特·泽米吉斯,"剧情,冒险",英语 / 俄语,8.5,143分钟,荒岛余生 Cast Away
台湾 / 法国,易智言,"剧情,爱情,同性",汉语普通话,8.3,85分钟,蓝色大门 藍色大門
美国,安德鲁·尼科尔,"剧情,科幻",英语 / 世界语,8.7,106分钟,千钧一发 Gattaca
韩国,李廷香,"剧情,家庭",韩语,9.0,80分钟,爱·回家 집으로...
